,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1974.0,0.0,26.0,0.0,50.0
1,1974.0,0.0,26.0,1.0,50.0
2,1974.0,0.0,26.0,2.0,50.0
3,1974.0,0.0,26.0,3.0,50.0
4,1974.0,0.0,26.0,4.0,50.0
5,1974.0,0.0,26.0,5.0,50.0
6,1974.0,0.0,26.0,6.0,50.0
7,1974.0,0.0,26.0,7.0,50.0
8,1974.0,0.0,26.0,8.0,50.0
9,1974.0,0.0,26.0,9.0,50.0
10,1974.0,0.0,26.0,10.0,50.0
11,1974.0,0.0,26.0,11.0,50.0
12,1974.0,0.0,26.0,12.0,50.0
13,1974.0,0.0,26.0,13.0,50.0
14,1974.0,0.0,26.0,14.0,50.0
15,1974.0,0.0,26.0,15.0,50.0
16,1974.0,0.0,26.0,16.0,50.0
17,1974.0,0.0,26.0,17.0,50.0
18,1974.0,0.0,26.0,18.0,50.0
19,1974.0,0.0,26.0,19.0,50.0
20,1974.0,0.0,26.0,20.0,50.0
